CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,1186202,856963,341.1M,246.43M,+260.3%,7%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,489849,489849,165.54M,165.54M,NEW,3.4%
594918104,MSFT,MICROSOFT CORP,278533,198972,103.1M,73.65M,+250.1%,2.1%
92537N108,VRT,VERTIV HOLDINGS CO,275809,275809,69.11M,69.11M,NEW,1.4%
464287655,IWM,ISHARES TR,586563,277146,145.47M,68.73M,+89.6%,3%
81369Y506,XLE,SELECT SECTOR SPDR TR,942096,942096,57.71M,57.71M,NEW,1.2%
30303M102,META,META PLATFORMS INC,149510,87133,85.54M,49.85M,+139.7%,1.8%
N07059210,ASML,ASML HLDG NV,50220,36763,66.33M,48.56M,+273.2%,1.4%
023135106,AMZN,AMAZON COM INC,365892,214157,76.2M,44.6M,+141.1%,1.6%
09260D107,BX,BLACKSTONE INC,405703,347589,46.65M,39.97M,+598.1%,0.96%
958102105,WDC,WESTERN DIGITAL CORP,206486,114978,55.85M,31.1M,+125.6%,1.1%
25179M103,DVN,DEVON ENERGY CORP NEW,521820,521820,26.26M,26.26M,NEW,0.54%
055622104,BP,BP PLC,709098,537150,33.33M,25.25M,+312.4%,0.69%
438516106,HON,HONEYWELL INTL INC,157238,111370,35.54M,25.17M,+242.8%,0.73%
78464A870,XBI,SPDR SERIES TRUST,287721,188401,36.75M,24.06M,+189.7%,0.76%
171779309,CIEN,CIENA CORP,58514,58514,22.72M,22.72M,NEW,0.47%
125523100,CI,THE CIGNA GROUP,599102,84366,159.81M,22.5M,+16.4%,3.3%
G39387108,GFS,GLOBALFOUNDRIES INC,557250,443927,24.79M,19.75M,+391.7%,0.51%
01609W102,BABA,ALIBABA GROUP HLDG LTD,587859,153018,73.75M,19.2M,+35.2%,1.5%
025816109,AXP,AMERICAN EXPRESS CO,63301,63301,19.15M,19.15M,NEW,0.39%
458140100,INTC,INTEL CORP,5880531,426686,259.51M,18.83M,+7.8%,5.3%
872657101,TPG,TPG INC,423650,423650,17.16M,17.16M,NEW,0.35%
00724F101,ADBE,ADOBE INC,251918,70524,61.24M,17.14M,+38.9%,1.3%
98978V103,ZTS,ZOETIS INC,672924,142503,79.55M,16.85M,+26.9%,1.6%
70450Y103,PYPL,PAYPAL HLDGS INC,697913,347309,31.57M,15.71M,+99.1%,0.65%
464287465,EFA,ISHARES TR,159642,159642,15.51M,15.51M,NEW,0.32%
92343V104,VZ,VERIZON COMMUNICATIONS INC,274249,274249,13.77M,13.77M,NEW,0.28%
697900108,PAAS,PAN AMERN SILVER CORP,344486,241260,18.82M,13.18M,+233.7%,0.39%
16119P108,CHTR,CHARTER COMMUNICATIONS INC,80204,61013,17.31M,13.17M,+317.9%,0.36%
880770102,TER,TERADYNE INC,43399,43399,12.87M,12.87M,NEW,0.26%
Q4982L109,IREN,IREN LIMITED,367485,367485,12.6M,12.6M,NEW,0.26%
099724106,BWA,BORGWARNER INC,234254,226898,12.71M,12.31M,+3084.5%,0.26%
518439104,EL,LAUDER ESTEE COS INC,168763,168763,12.11M,12.11M,NEW,0.25%
125269100,CF,CF INDUSTRIES HOLD,93236,93236,12.11M,12.11M,NEW,0.25%
55024U109,LITE,LUMENTUM HLDGS INC,16458,16458,11.57M,11.57M,NEW,0.24%
097023105,BA,BOEING CO,57253,57253,11.4M,11.4M,NEW,0.23%
00827B106,AFRM,AFFIRM HLDGS INC,246078,246078,11.28M,11.28M,NEW,0.23%
739128106,POWL,POWELL INDS INC,20480,20480,11.08M,11.08M,NEW,0.23%
05464C101,AXON,AXON ENTERPRISE INC,41588,26079,17.66M,11.08M,+168.2%,0.36%
500767306,KWEB,KRANESHARES TRUST,613229,378025,17.43M,10.75M,+160.7%,0.36%
59156R108,MET,METLIFE INC,175713,149073,12.43M,10.54M,+559.6%,0.26%
088606108,BHP,BHP BILLITON LIMITED,142897,142374,10.39M,10.36M,+27222.6%,0.21%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,1750103,267525,67.24M,10.28M,+18%,1.4%
536797103,LAD,LITHIA MTRS INC,40543,40543,10.12M,10.12M,NEW,0.21%
126650100,CVS,CVS HEALTH CORP,427542,133578,30.71M,9.59M,+45.4%,0.63%
32076V103,AG,FIRST MAJESTIC SILVER CORP,695484,436082,14.94M,9.37M,+168.1%,0.31%
