CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03769M106,APO,APOLLO GLOBAL MGMT INC NCLASS CLASS A,9492,7644,1.06M,851.69K,+413.6%,0.88%
934423104,WBD,WARNER BROS DISCOVERY INCLASS SERIES A,10073,9919,276.61K,272.38K,+6440.9%,0.23%
82846H405,QXO,QXO INC,17954,8918,348.67K,173.19K,+98.7%,0.29%
09789C671,PCMM,BONDBLOXX PRIVATE CREDITCLO ETF,4572,3176,224.81K,156.16K,+227.5%,0.19%
G0593M107,AZN.L,ASTRAZENECA PLC F,770,770,151.86K,151.86K,NEW,0.13%
48251W104,KKR,KKR & CO INC,5450,1450,504.12K,134.12K,+36.2%,0.42%
46436E718,SGOV,ISHARES 0-3 MONTH TREASURY BOND ETF,3951,1322,397.71K,133.07K,+50.3%,0.33%
922908595,VBK,VANGUARD SMALL-CAP GROWTH INDEX FUND ETF SHARES,1729,427,522.55K,129.05K,+32.8%,0.43%
G87110105,FTI,TECHNIPFMC PLC F,1630,1630,112.68K,112.68K,NEW,0.09%
281020107,EIX,EDISON INTL,1378,1378,100.84K,100.84K,NEW,0.08%
69331C108,PCG,PG&E CORP,5542,5542,97.37K,97.37K,NEW,0.08%
922908538,VOT,VANGUARD MID-CAP GROWTH INDEX FUND ETF SHARES,3360,370,864.62K,95.21K,+12.4%,0.72%
836100107,SOUN,SOUNDHOUND AI INC CLASS A,13360,13360,91.78K,91.78K,NEW,0.08%
88160R101,TSLA,TESLA INC,938,239,348.7K,88.85K,+34.2%,0.29%
235851102,DHR,DANAHER CORP,1127,459,213.68K,87.03K,+68.7%,0.18%
922908512,VOE,VANGUARD MID-CAP VALUE INDEX FUND ETF SHARES,14424,468,2.66M,86.24K,+3.4%,2.2%
72348N109,PNFP,PINNACLE FINL PARTNERS I,1000,1000,86.14K,86.14K,NEW,0.07%
199908104,FIX,COMFORT SYS USA INC,62,62,85.5K,85.5K,NEW,0.07%
496902404,KGC,KINROSS GOLD CORP F,9273,2701,283.01K,82.43K,+41.1%,0.24%
713448108,PEP,PEPSICO INC,563,521,87.43K,80.91K,+1240.5%,0.07%
091955104,ETHW,BITWISE ETHEREUM ETF,5300,5300,79.5K,79.5K,NEW,0.07%
22160K105,COST,COSTCO WHSL CORP NEW,72,71,71.74K,70.75K,+7100%,0.06%
29084Q100,EME,EMCOR GROUP INC,94,94,69.4K,69.4K,NEW,0.06%
009066101,ABNB,AIRBNB INC CLASS A,525,525,66.3K,66.3K,NEW,0.06%
46434G509,HEEM,ISHARES CURRENCY HEDGED MSCI EMERGING MARKETS ETF,19162,1719,707.45K,63.46K,+9.9%,0.59%
860630102,SF,STIFEL FINL CORP,805,805,59.51K,59.51K,NEW,0.05%
595112103,MU,MICRON TECHNOLOGY INC,257,176,86.83K,59.46K,+217.3%,0.07%
369604301,GE,GE AEROSPACE,269,208,76.33K,59.02K,+341%,0.06%
49456B101,KMI,KINDER MORGAN INC DEL,2032,1758,68.13K,58.95K,+641.6%,0.06%
55024U109,LITE,LUMENTUM HLDGS INC,83,83,58.33K,58.33K,NEW,0.05%
571748102,MRSH,MARSH & MCLENNAN COS INC,317,317,54.98K,54.98K,NEW,0.05%
78409V104,SPGI,S&P GLOBAL INC,130,129,55.29K,54.87K,+12900%,0.05%
75886F107,REGN,REGENERON PHARMACEUTICAL,69,69,53.31K,53.31K,NEW,0.04%
64125C109,NBIX,NEUROCRINE BIOSCIENCES I,402,402,52.96K,52.96K,NEW,0.04%
45073V108,ITT,ITT INC,267,267,50.87K,50.87K,NEW,0.04%
718546104,PSX,PHILLIPS 66,801,278,145.93K,50.65K,+53.2%,0.12%
445658107,JBHT,HUNT J B TRANS SVCS INC,236,236,50.01K,50.01K,NEW,0.04%
217204106,CPRT,COPART INC,1501,1501,49.83K,49.83K,NEW,0.04%
880770102,TER,TERADYNE INC,168,168,49.8K,49.8K,NEW,0.04%
31428X106,FDX,FEDEX CORP,150,139,53.43K,49.51K,+1263.6%,0.04%
57060D108,MKTX,MARKETAXESS HLDGS INC,299,299,49.33K,49.33K,NEW,0.04%
863667101,SYK,STRYKER CORP,144,144,47.32K,47.32K,NEW,0.04%
742718109,PG,PROCTER & GAMBLE CO,1073,324,154.98K,46.8K,+43.3%,0.13%
743315103,PGR,PROGRESSIVE CORP OH,1858,233,368.33K,46.19K,+14.3%,0.31%
G0450A105,ACGL,ARCH CAPITAL GROUP LTD F,481,481,46.17K,46.17K,NEW,0.04%
G3922B107,G,GENPACT LTD F,1235,1235,46K,46K,NEW,0.04%
958102105,WDC,WESTERN DIGITAL CORP,170,170,45.98K,45.98K,NEW,0.04%
36828A101,GEV,GE VERNOVA INC,70,51,61.11K,44.52K,+268.4%,0.05%
