CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
71944F106,PHR,PHREESIA INC,953928,953928,7.99M,7.99M,NEW,3%
G5279N105,KLAR,KLARNA GROUP PLC,509939,509939,6.68M,6.68M,NEW,2.5%
947002101,WLTH,WEALTHFRONT CORP,546407,546407,5.05M,5.05M,NEW,1.9%
19260Q107,COIN,COINBASE GLOBAL INC,25260,25260,4.41M,4.41M,NEW,1.7%
G32089107,ETOR,ETORO GROUP LTD,139087,139087,4.18M,4.18M,NEW,1.6%
75585H206,REAX,THE REAL BROKERAGE INC,1650593,1453401,4.13M,3.63M,+737%,1.6%
770700102,HOOD,ROBINHOOD MKTS INC,50336,50336,3.49M,3.49M,NEW,1.3%
M7S64L123,PGY,PAGAYA TECHNOLOGIES LTD,296038,296038,3.45M,3.45M,NEW,1.3%
30234F101,XZO,EXZEO GROUP INC,411353,226600,6.03M,3.32M,+122.7%,2.3%
42225T107,HCAT,HEALTH CATALYST INC,4268141,517764,5.42M,657.56K,+13.8%,2%
852234103,XYZ,BLOCK INC,123825,8471,7.45M,509.78K,+7.3%,2.8%
381098409,MRDN,MERIDIAN HOLDINGS INC,63319,63319,457.16K,457.16K,NEW,0.17%
09581B103,OWL,BLUE OWL CAPITAL INC,27880,27880,254.54K,254.54K,NEW,0.1%
113004105,BAM,BROOKFIELD ASSET MANAGMT LTD,5721,5721,254.3K,254.3K,NEW,0.1%
09260D107,BX,BLACKSTONE INC,2284,819,262.64K,94.18K,+55.9%,0.1%
03769M106,APO,APOLLO GLOBAL MGMT INC,2339,815,260.61K,90.81K,+53.5%,0.1%
14316J108,CG,CARLYLE GROUP INC,5312,1616,257.05K,78.2K,+43.7%,0.1%
48251K100,KREF,KKR REAL ESTATE FIN TR INC,38108,11499,233.22K,70.37K,+43.2%,0.09%
099502106,BAH,BOOZ ALLEN HAMILTON HLDG COR,3307,655,258.05K,51.11K,+24.7%,0.1%
91324P102,UNH,UNITEDHEALTH GROUP INC,888,185,240.28K,50.06K,+26.3%,0.09%
80105N105,SNY,SANOFI SA,5774,1020,278.19K,49.14K,+21.5%,0.1%
G5960L103,MDT,MEDTRONIC PLC,2874,538,249.03K,46.62K,+23%,0.09%
88579Y101,MMM,3M CO,1712,282,248.63K,40.95K,+19.7%,0.09%
125523100,CI,THE CIGNA GROUP,963,134,256.88K,35.74K,+16.2%,0.1%
91879Q109,MTN,VAIL RESORTS INC,1777,251,228.03K,32.21K,+16.4%,0.09%
904767803,UL,UNILEVER PLC,3893,385,221.78K,21.93K,+11%,0.08%
49177J102,KVUE,KENVUE INC,14327,864,247K,14.9K,+6.4%,0.09%
810186106,SMG,SCOTTS MIRACLE-GRO CO,4056,215,246.65K,13.07K,+5.6%,0.09%
76131D103,QSR,RESTAURANT BRANDS INTL INC,3383,138,250K,10.2K,+4.3%,0.09%
718172109,PM,PHILIP MORRIS INTL INC,1461,33,241.56K,5.46K,+2.3%,0.09%
942622200,WSO,WATSCO INC,668,12,243.01K,4.37K,+1.8%,0.09%
37733W204,GSK,GSK PLC,4760,67,262.7K,3.7K,+1.4%,0.1%
18915M107,NET,CLOUDFLARE INC,293031,0,60.46M,0,NO CHANGE,22.7%
023135106,AMZN,AMAZON COM INC,93104,0,19.39M,0,NO CHANGE,7.3%
68401U204,OPRX,OPTIMIZERX CORP,1508303,0,9.47M,0,NO CHANGE,3.6%
888787108,TOST,TOAST INC,336049,0,8.91M,0,NO CHANGE,3.4%
05637B105,BLZE,BACKBLAZE INC,1520055,0,5.24M,0,NO CHANGE,2%
04342Y104,ASAN,ASANA INC,381716,0,2.44M,0,NO CHANGE,0.92%
02079K305,GOOGL,ALPHABET INC,1209,0,347.66K,0,NO CHANGE,0.13%
69007J304,OUT,OUTFRONT MEDIA INC,9347,-86,247.7K,-2.28K,-0.9%,0.09%
478160104,JNJ,JOHNSON & JOHNSON,1070,-28,261.55K,-6.84K,-2.6%,0.1%
02209S103,MO,ALTRIA GROUP INC,3787,-106,249.9K,-6.99K,-2.7%,0.09%
65339F101,NEE,NEXTERA ENERGY INC,2746,-101,255.05K,-9.38K,-3.5%,0.1%
718546104,PSX,PHILLIPS 66,1469,-290,267.62K,-52.83K,-16.5%,0.1%
136385101,CNQ,CANADIAN NAT RES LTD MED TER,5201,-1854,253.44K,-90.35K,-26.3%,0.1%
76029L100,RPAY,REPAY HLDGS CORP,2690639,-37988,7M,-98.77K,-1.4%,2.6%
03044L204,AMWL,AMERICAN WELL CORP,0,-25000,0,-122.75K,CLOSE,0%
N53745100,LYB,LYONDELLBASELL INDUSTRIES NV,3547,-1694,285.75K,-136.47K,-32.3%,0.11%
25862B109,DDI,DOUBLEDOWN INTERACTIVE CO,0,-20000,0,-172.6K,CLOSE,0%
81749D107,SERA,SERA PROGNOSTICS INC,3306889,-152824,6.71M,-310.23K,-4.4%,2.5%
381098300,GMGI,GOLDEN MATRIX GROUP INC,0,-413402,0,-331.05K,CLOSE,0%
92854T209,SEAT,VIVID SEATS INC,0,-82559,0,-595.25K,CLOSE,0%
53216B104,LFMD,LIFEMD INC,360250,-342803,1.3M,-1.24M,-48.8%,0.49%
09352U108,BLND,BLEND LABS INC,38889,-1132190,66.11K,-1.92M,-96.7%,0.02%
073463309,BODI,THE BEACHBODY COMPANY INC,102172,-195455,1.11M,-2.12M,-65.7%,0.42%
M4R82T106,FVRR,FIVERR INTL LTD,0,-126391,0,-2.5M,CLOSE,0%
68373J104,LPRO,OPEN LENDING CORP,3799105,-2215562,4.75M,-2.77M,-36.8%,1.8%
02079K107,GOOG,ALPHABET INC,118630,-11743,34.03M,-3.37M,-9%,12.8%
68373M107,OPRA,OPERA LTD,0,-245459,0,-3.48M,CLOSE,0%
78435P105,SEZL,SEZZLE INC,0,-57605,0,-3.66M,CLOSE,0%
74319R101,PRG,PROG HOLDINGS INC,0,-182672,0,-5.39M,CLOSE,0%
89785L107,TRUE,TRUECAR INC,0,-3074241,0,-6.95M,CLOSE,0%
75960P104,RELY,REMITLY GLOBAL INC,0,-579311,0,-7.99M,CLOSE,0%
23834J201,DAVE,DAVE INC,224155,-47792,39.02M,-8.32M,-17.6%,14.7%
Total,,,,,265.81M,-6.59M,-2.1%,100%
