CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
36322Q206,GLTO,Galecto Inc,1236157,1236157,32.02M,32.02M,NEW,2.5%
639193101,NAVN,Navan Inc,28218676,1023312,373.62M,13.55M,+3.8%,28.9%
01021M104,AKTS,Aktis Oncology Inc,415000,415000,7.42M,7.42M,NEW,0.58%
091947101,BTGO,BitGo Holdings Inc,666356,666356,5.48M,5.48M,NEW,0.42%
42727R203,IPST,IP Strategy Holdings Inc,82740,82740,21.84K,21.84K,NEW,<.01%
30303M102,META,Meta Platforms Inc,212531,0,121.6M,0,NO CHANGE,9.4%
76155X100,RVMD,Revolution Medicines Inc,921099,0,89.58M,0,NO CHANGE,6.9%
63909J108,NAUT,Nautilus Biotechnology Inc,17653917,0,68.5M,0,NO CHANGE,5.3%
852234103,XYZ,Block Inc,1016697,0,61.18M,0,NO CHANGE,4.7%
09077V100,BIOA,Bioage Labs Inc,3233170,0,56.55M,0,NO CHANGE,4.4%
578784100,MAZE,Maze Therapeutics Inc,1702225,0,50.81M,0,NO CHANGE,3.9%
29479A108,ERAS,Erasca Inc,2862500,0,46.32M,0,NO CHANGE,3.6%
13463J101,CAMP,Camp4 Therapeutics Corp,2125339,0,9.37M,0,NO CHANGE,0.73%
37611X209,DNA,Ginkgo Bioworks Holdings Inc,108568,0,665.52K,0,NO CHANGE,0.05%
426927109,HTBK,Heritage Commerce Corp,0,-82740,0,-129.07K,CLOSE,0%
316841105,FIG,Figma Inc,16011378,-234751,338.48M,-4.96M,-1.4%,26.2%
68170A108,OMDA,Omada Health Inc,2307284,-1153645,29M,-14.5M,-33.3%,2.2%
Total,,,,,1.29B,38.9M,+2.5%,100%
