"Fund","CUSIP","Ticker","Company","Shares","Value","Avg_Price","Date","Filing_Date"
"FMR","07373V105","BEAM","Beam Therapeutics Inc.","1695828","58.25M","34.35","2026-06-25","2026-06-29"
"Monarch Alternative","","","Capstone Energy+, Inc.","19333334","N/A","N/A","2026-06-25","2026-06-29"
"Point72","","","BlockchAIn Digital Infrastructure, Inc.","3921912","N/A","N/A","2026-06-24","2026-06-25"
"Helix","","","Office Properties Income Trust","5565017","N/A","N/A","2026-06-17","2026-06-25"
"Redwood","","","Office Properties Income Trust","4324000","N/A","N/A","2026-06-17","2026-06-25"
"Gendell Jeffrey","44951W106","IESC","IES Holdings, Inc.","10406559","7.84B","753.28","2026-06-12","2026-06-16"
"Point72","","","Design Therapeutics, Inc.","3197764","N/A","N/A","2026-06-08","2026-06-09"
"Whetstone","","","Health Catalyst, Inc.","3285690","N/A","N/A","2026-06-04","2026-06-08"
"Portolan","","","Tecogen Inc.","1552232","N/A","N/A","2026-06-03","2026-06-10"
"Gator","902952100","GROW","U S GLOBAL INVESTORS INC","1121593","2.93M","2.61","2026-06-02","2026-06-04"
"Gator","","","U.S. GLOBAL INVESTORS, INC.","1100767","N/A","N/A","2026-06-02","2026-06-02"
"Kopernik","","","Seabridge Gold Inc.","11044218","N/A","N/A","2026-05-31","2026-06-04"
"FMR","","","Cerebras Systems Inc.","25618272","N/A","N/A","2026-05-29","2026-06-05"
"Jennison","","","CABALETTA BIO INC","24267980","N/A","N/A","2026-05-29","2026-06-04"
"Gendell Jeffrey","44951W106","IESC","IES Holdings, Inc.","10453279","7.19B","687.5","2026-05-26","2026-05-28"
"Point72","","","Avalo Therapeutics, Inc.","2710817","N/A","N/A","2026-05-22","2026-05-26"
"Point72","","","POWER SOLUTIONS INTERNATIONAL, INC.","1155764","N/A","N/A","2026-05-21","2026-05-22"
"Portolan","","","Mayville Engineering Company, Inc.","1465004","N/A","N/A","2026-05-20","2026-05-28"
"Tiger Global","","","Cerebras Systems Inc.","3496222","N/A","N/A","2026-05-15","2026-05-22"
"Point72","","","Sweetgreen, Inc.","6622017","N/A","N/A","2026-05-15","2026-05-18"
"Gator","902952100","GROW","U S GLOBAL INVESTORS INC","1100767","2.91M","2.64","2026-05-01","2026-06-02"
"Polar Capital","","","ENLIVEN THERAPEUTICS, INC.","5056807","N/A","N/A","2026-03-31","2026-06-22"
"Lingotto","","","Sibanye Stillwater Ltd","150688684","N/A","N/A","2026-03-31","2026-05-15"
"Kopernik","","","PLATINUM GROUP METALS LTD","7432438","N/A","N/A","2026-03-31","2026-05-14"
"Kopernik","","","CRESUD INC","4523081","N/A","N/A","2025-12-31","2026-06-18"
